21786.5211013246,3,[Sub r0 -> r1, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Sub r1 -> r2, Sub r1 -> r2, r2+= r0]
22188.4788986754,3,[Sub r1 -> r0, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Sub r1 -> r1, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Sub r2 -> r2, Sub r1 -> r2, r2+= r0]
23075.33676305167,3,[Sub r2 -> r0, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Sub r2 -> r1, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Mul r0 -> r2, Sub r1 -> r2, r2+= r0]
42589.766654527964,3,[Mul r0 -> r0, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Mul r0 -> r1, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Mul r1 -> r2, Sub r1 -> r2, r2+= r0]
31126.143877926283,3,[Mul r1 -> r0, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Mul r1 -> r1, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Mul r2 -> r2, Sub r1 -> r2, r2+= r0]
41083.214945738146,3,[Mul r2 -> r0, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Mul r2 -> r1, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Sin r2, Sub r1 -> r2, r2+= r0]
273.8768803974757,3,[Sin r0, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Sin r1, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Cos r2, Sub r1 -> r2, r2+= r0]
276.97134753644985,3,[Cos r0, Sub r1 -> r2, r2+= r0]
21786.5211013246,3,[Cos r1, Sub r1 -> r2, r2+= r0]
22188.4788986754,2,[Sub r1 -> r0, r2+= r0]
22188.4788986754,3,[r2+= r0, Sub r1 -> r0, r2+= r0]
24248.478898675403,3,[r0+= r0, Sub r1 -> r0, r2+= r0]
316.2333454720339,3,[r1+= r0, Sub r1 -> r0, r2+= r0]
22188.4788986754,3,[r2+= r1, Sub r1 -> r0, r2+= r0]
22141.4788986754,3,[r0+= r1, Sub r1 -> r0, r2+= r0]
22243.4788986754,3,[r1+= r1, Sub r1 -> r0, r2+= r0]
22188.4788986754,3,[r2+= r2, Sub r1 -> r0, r2+= r0]
23348.478898675403,3,[r0+= r2, Sub r1 -> r0, r2+= r0]
23132.33676305167,3,[r1+= r2, Sub r1 -> r0, r2+= r0]
22188.4788986754,3,[Sub r0 -> r2, Sub r1 -> r0, r2+= r0]
316.2333454720339,3,[Sub r0 -> r0, Sub r1 -> r0, r2+= r0]
491.4788986754014,3,[Sub r0 -> r1, Sub r1 -> r0, r2+= r0]
22188.4788986754,3,[Sub r1 -> r2, Sub r1 -> r0, r2+= r0]
21786.5211013246,3,[Sub r1 -> r0, Sub r1 -> r0, r2+= r0]
22141.4788986754,3,[Sub r1 -> r1, Sub r1 -> r0, r2+= r0]
22188.4788986754,3,[Sub r2 -> r2, Sub r1 -> r0, r2+= r0]
22904.66323694833,3,[Sub r2 -> r0, Sub r1 -> r0, r2+= r0]
23234.33676305167,3,[Sub r2 -> r1, Sub r1 -> r0, r2+= r0]
22188.4788986754,3,[Mul r0 -> r2, Sub r1 -> r0, r2+= r0]
42716.233345472036,3,[Mul r0 -> r0, Sub r1 -> r0, r2+= r0]
30149.856122073717,3,[Mul r0 -> r1, Sub r1 -> r0, r2+= r0]
22188.4788986754,3,[Mul r1 -> r2, Sub r1 -> r0, r2+= r0]
31001.856122073717,3,[Mul r1 -> r0, Sub r1 -> r0, r2+= r0]
30265.233345472036,3,[Mul r1 -> r1, Sub r1 -> r0, r2+= r0]
22188.4788986754,3,[Mul r2 -> r2, Sub r1 -> r0, r2+= r0]
41209.785054261854,3,[Mul r2 -> r0, Sub r1 -> r0, r2+= r0]
22730.33676305167,3,[Mul r2 -> r1, Sub r1 -> r0, r2+= r0]
22188.4788986754,3,[Sin r2, Sub r1 -> r0, r2+= r0]
314.81572072966406,3,[Sin r0, Sub r1 -> r0, r2+= r0]
22138.584305357064,3,[Sin r1, Sub r1 -> r0, r2+= r0]
22188.4788986754,3,[Cos r2, Sub r1 -> r0, r2+= r0]
315.45492923493146,3,[Cos r0, Sub r1 -> r0, r2+= r0]
22138.789173774356,3,[Cos r1, Sub r1 -> r0, r2+= r0]
21786.5211013246,2,[Sub r2 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r0, Sub r2 -> r2, r2+= r0]
24050.5211013246,3,[r0+= r0, Sub r2 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r1, Sub r2 -> r2, r2+= r0]
22000.5211013246,3,[r0+= r1, Sub r2 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r2, Sub r2 -> r2, r2+= r0]
23010.5211013246,3,[r0+= r2, Sub r2 -> r2, r2+= r0]
21786.5211013246,3,[Sub r0 -> r2, Sub r2 -> r2, r2+= r0]
277.4788986754014,3,[Sub r0 -> r0, Sub r2 -> r2, r2+= r0]
21786.5211013246,3,[Sub r1 -> r2, Sub r2 -> r2, r2+= r0]
22188.4788986754,3,[Sub r1 -> r0, Sub r2 -> r2, r2+= r0]
21786.5211013246,3,[Sub r2 -> r2, Sub r2 -> r2, r2+= r0]
23075.33676305167,3,[Sub r2 -> r0, Sub r2 -> r2, r2+= r0]
21786.5211013246,3,[Mul r0 -> r2, Sub r2 -> r2, r2+= r0]
42589.766654527964,3,[Mul r0 -> r0, Sub r2 -> r2, r2+= r0]
21786.5211013246,3,[Mul r1 -> r2, Sub r2 -> r2, r2+= r0]
31126.143877926283,3,[Mul r1 -> r0, Sub r2 -> r2, r2+= r0]
21786.5211013246,3,[Mul r2 -> r2, Sub r2 -> r2, r2+= r0]
41083.214945738146,3,[Mul r2 -> r0, Sub r2 -> r2, r2+= r0]
21786.5211013246,3,[Sin r2, Sub r2 -> r2, r2+= r0]
273.8768803974757,3,[Sin r0, Sub r2 -> r2, r2+= r0]
21786.5211013246,3,[Cos r2, Sub r2 -> r2, r2+= r0]
276.97134753644985,3,[Cos r0, Sub r2 -> r2, r2+= r0]
23075.33676305167,2,[Sub r2 -> r0, r2+= r0]
1292.091209848303,3,[r2+= r0, Sub r2 -> r0, r2+= r0]
25035.33676305167,3,[r0+= r0, Sub r2 -> r0, r2+= r0]
23132.33676305167,3,[r2+= r1, Sub r2 -> r0, r2+= r0]
23234.33676305167,3,[r0+= r1, Sub r2 -> r0, r2+= r0]
24131.33676305167,3,[r2+= r2, Sub r2 -> r0, r2+= r0]
22141.4788986754,3,[r0+= r2, Sub r2 -> r0, r2+= r0]
1501.4788986754015,3,[Sub r0 -> r2, Sub r2 -> r0, r2+= r0]
1292.091209848303,3,[Sub r0 -> r0, Sub r2 -> r0, r2+= r0]
23348.478898675403,3,[Sub r1 -> r2, Sub r2 -> r0, r2+= r0]
23012.5211013246,3,[Sub r1 -> r0, Sub r2 -> r0, r2+= r0]
22141.4788986754,3,[Sub r2 -> r2, Sub r2 -> r0, r2+= r0]
21786.5211013246,3,[Sub r2 -> r0, Sub r2 -> r0, r2+= r0]
40142.785054261854,3,[Mul r0 -> r2, Sub r2 -> r0, r2+= r0]
41717.233345472036,3,[Mul r0 -> r0, Sub r2 -> r0, r2+= r0]
22730.33676305167,3,[Mul r1 -> r2, Sub r2 -> r0, r2+= r0]
32102.713986449988,3,[Mul r1 -> r0, Sub r2 -> r0, r2+= r0]
40209.16227766017,3,[Mul r2 -> r2, Sub r2 -> r0, r2+= r0]
41046.785054261854,3,[Mul r2 -> r0, Sub r2 -> r0, r2+= r0]
22138.59889680134,3,[Sin r2, Sub r2 -> r0, r2+= r0]
1291.198334813341,3,[Sin r0, Sub r2 -> r0, r2+= r0]
22138.767097003933,3,[Cos r2, Sub r2 -> r0, r2+= r0]
1289.3828615542166,3,[Cos r0, Sub r2 -> r0, r2+= r0]
21786.5211013246,2,[Mul r0 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r0, Mul r0 -> r2, r2+= r0]
24050.5211013246,3,[r0+= r0, Mul r0 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r1, Mul r0 -> r2, r2+= r0]
22000.5211013246,3,[r0+= r1, Mul r0 -> r2, r2+= r0]
21786.5211013246,3,[r2+= r2, Mul r0 -> r2, r2+= r0]
23010.5211013246,3,[r0+= r2, Mul r0 -> r2, r2+= r0]
21786.5211013246,3,[Sub r0 -> r2, Mul r0 -> r2, r2+= r0]
277.4788986754014,3,[Sub r0 -> r0, Mul r0 -> r2, r2+= r0]
21786.5211013246,3,[Sub r1 -> r2, Mul r0 -> r2, r2+= r0]
22188.4788986754,3,[Sub r1 -> r0, Mul r0 -> r2, r2+= r0]
21786.5211013246,3,[Sub r2 -> r2, Mul r0 -> r2, r2+= r0]
23075.33676305167,3,[Sub r2 -> r0, Mul r0 -> r2, r2+= r0]
21786.5211013246,3,[Mul r0 -> r2, Mul r0 -> r2, r2+= r0]
42589.766654527964,3,[Mul r0 -> r0, Mul r0 -> r2, r2+= r0]
21786.5211013246,3,[Mul r1 -> r2, Mul r0 -> r2, r2+= r0]
31126.143877926283,3,[Mul r1 -> r0, Mul r0 -> r2, r2+= r0]
21786.5211013246,3,[Mul r2 -> r2, Mul r0 -> r2, r2+= r0]
41083.214945738146,3,[Mul r2 -> r0, Mul r0 -> r2, r2+= r0]
21786.5211013246,3,[Sin r2, Mul r0 -> r2, r2+= r0]
273.8768803974757,3,[Sin r0, Mul r0 -> r2, r2+= r0]
21786.5211013246,3,[Cos r2, Mul r0 -> r2, r2+= r0]
276.97134753644985,3,[Cos r0, Mul r0 -> r2, r2+= r0]
42589.766654527964,2,[Mul r0 -> r0, r2+= r0]
42589.766654527964,3,[r2+= r0, Mul r0 -> r0, r2+= r0]
50401.766654527964,3,[r0+= r0, Mul r0 -> r0, r2+= r0]
